637,25133,468
638,25739,0
639,25739,0
640,25739,0
641,25739,0
642,25739,0
643,25739,0
644,25739,0
645,25739,0
646,25739,0
647,24552,928
648,25739,0
649,25739,0
650,25739,0
651,23458,1824
652,25739,0
653,25739,0
654,25447,224
655,25189,424
656,22504,2640
657,25739,0
658,25676,48
659,25739,0
660,25739,0
661,25739,0
662,25739,0
663,25739,0
664,24340,1098
665,25739,0
666,25551,144
667,24303,1128
668,25739,0
669,25702,28
670,25702,28
671,25739,0
672,25739,0
673,25739,0
674,25739,0
675,7051,25452
676,25739,0
677,24871,674
678,25739,0
679,25739,0
680,25739,0
681,25739,0
682,25739,0
683,25739,0
684,25739,0
685,25739,0
686,19658,5298
687,23154,2080
688,25739,0
689,25739,0
690,25592,112
691,25739,0
692,25739,0
693,6894,25896
694,25739,0
695,25739,0
696,25739,0
697,25739,0
698,25739,0
699,1979,50424
700,25739,0
701,25739,0
702,25739,0
703,25739,0
704,25621,90
705,25739,0
706,23443,1836
707,25707,24
708,25739,0
709,20451,4520
710,25739,0
711,25739,0
712,25739,0
713,25707,24
714,25702,28
715,17917,7120
716,25739,0
717,25739,0
718,23161,2074
719,25159,448
720,25707,24
721,25739,0
722,25212,406
723,25561,136
724,25470,206
725,25739,0
726,25676,48
727,22971,2236
728,25707,24
729,25739,0
730,25442,228
731,25739,0
732,25655,64
733,25739,0
734,25739,0
735,17553,7524
736,25450,222
737,25739,0
738,25629,84
739,25739,0
740,25671,52
741,25739,0
742,25031,548
743,25739,0
744,25739,0
745,25179,432
746,25739,0
747,24380,1066
748,25739,0
749,23925,1436
750,25739,0
751,25739,0
752,25739,0
753,25707,24
754,25739,0
755,25739,0
756,25739,0
757,22518,2628
758,24006,1370
759,25739,0
760,25739,0
761,25739,0
762,25739,0
763,23324,1936
764,25739,0
765,1921,51016
766,25739,0
767,25739,0
768,5571,30084
769,25739,0
770,25062,524
771,25739,0
772,25739,0
773,25739,0
774,25739,0
775,25739,0
776,24879,668
777,25739,0
778,25739,0
779,1939,50832
780,14801,10876
781,25739,0
782,25739,0
783,25739,0
784,25739,0
785,25739,0
786,6867,25972
787,25739,0
788,22702,2468
789,25613,96
790,25739,0
791,25251,376
792,25739,0
793,25739,0
794,25739,0
795,25739,0
796,25739,0
797,25739,0
798,24311,1122
799,24967,598
800,25739,0
801,25739,0
802,25501,182
803,25739,0
804,25514,172
805,25739,0
806,25739,0
807,25416,248
808,25739,0
809,25739,0
810,25739,0
811,25739,0
812,25739,0
813,25739,0
814,25739,0
815,25739,0
816,25739,0
817,25000,572
818,25639,76
819,25739,0
820,25702,28
821,25739,0
822,25739,0
823,25739,0
824,24552,928
825,25739,0
826,25702,28
827,25739,0
828,25642,74
829,25739,0
830,25739,0
831,25535,156
832,25463,212
833,25739,0
834,25739,0
835,14544,11220
836,25739,0
837,25739,0
838,25702,28
839,25739,0
840,25739,0
841,25739,0
842,25739,0
843,25739,0
844,25739,0
845,25739,0
846,25739,0
847,24778,748
848,25707,24
849,25739,0
850,25739,0
851,25739,0
852,25739,0
853,25739,0
854,25739,0
855,25739,0
856,25123,476
857,25739,0
858,25739,0
859,6946,25748
860,25739,0
861,25739,0
862,25739,0
863,25739,0
864,25739,0
865,25739,0
866,25739,0
867,25739,0
868,25739,0
869,25739,0
870,23756,1576
871,24934,624
872,25739,0
873,25739,0
874,25707,24
875,25739,0
876,25739,0
877,25739,0
878,25739,0
879,25739,0
880,25739,0
881,25692,36
882,25021,556
883,25585,118
884,25739,0
885,25739,0
886,25739,0
887,25739,0
888,25036,544
889,25739,0
890,25739,0
891,25739,0
892,25739,0
893,25739,0
894,25739,0
895,24482,984
896,25739,0
897,25739,0
898,25739,0
899,25739,0
900,25739,0
901,25739,0
902,25739,0
903,25739,0
904,22632,2528
905,25739,0
906,6732,26362
907,25676,48
908,25739,0
909,25739,0
910,25707,24
911,25739,0
912,1717,53220
913,25739,0
914,25739,0
915,25739,0
916,25739,0
917,25739,0
918,25739,0
919,25739,0
920,25739,0
921,25739,0
922,22614,2544
923,25739,0
924,25702,28
925,24219,1196
926,25739,0
927,25739,0
928,25739,0
929,25739,0
930,25085,506
931,25354,296
932,25739,0
933,25739,0
934,19732,5224
935,23098,2128
936,25174,436
937,25739,0
938,25739,0
939,25739,0
940,22582,2572
941,22069,3024
942,25707,24
943,25739,0
944,24993,578
945,25496,186
946,25739,0
947,25739,0
948,11985,15024
949,25739,0
950,25702,28
951,25739,0
952,25739,0
953,25739,0
954,25739,0
955,25739,0
956,25739,0
957,25739,0
958,21383,3644
959,25739,0
960,22748,2428
961,25739,0
962,25739,0
963,25739,0
964,25739,0
965,17628,7440
966,25739,0
967,24993,578
968,25739,0
969,25457,216
970,25739,0
971,25739,0
972,25739,0
973,25739,0
974,24062,1324
975,24919,636
976,25702,28
977,25739,0
978,25739,0
979,25739,0
980,25739,0
981,25676,48
982,25739,0
983,25739,0
984,25739,0
985,25739,0
986,25739,0
987,25067,520
988,25739,0
989,25739,0
990,25739,0
991,25739,0
992,25739,0
993,25031,548
994,25665,56
995,25739,0
996,25739,0
997,21379,3648
998,16682,8524
999,25739,0
1000,25739,0
1001,25739,0
1002,25739,0
1003,25660,60
1004,25442,228
1005,25174,436
1006,25390,268
1007,25739,0
1008,15550,9906
1009,25739,0
1010,25739,0
1011,25739,0
1012,19260,5700
1013,22472,2668
1014,25739,0
1015,25382,274
1016,23216,2028
1017,25739,0
1018,25739,0
1019,24494,974
1020,25739,0
1021,25739,0
1022,25561,136
1023,24118,1278
1024,25739,0
1025,25739,0
1026,25739,0
1027,25739,0
1028,25739,0
1029,24682,824
1030,15275,10256
1031,21405,3624
1032,25739,0
1033,25739,0
1034,25644,72
1035,25739,0
1036,24269,1156
1037,25739,0
1038,25739,0
1039,25189,424
1040,25739,0
1041,25739,0
1042,25739,0
1043,25739,0
1044,25739,0
1045,25739,0
1046,25692,36
1047,19999,4960
1048,22472,2668
1049,25739,0
1050,25702,28
1051,25639,76
1052,20314,4652
1053,25739,0
1054,25739,0
1055,25739,0
1056,25702,28
1057,25442,228
1058,25739,0
1059,25739,0
1060,25739,0
1061,25739,0
1062,25739,0
1063,8985,20688
1064,25739,0
1065,25739,0
1066,25642,74
1067,25739,0
1068,25739,0
1069,25707,24
1070,25739,0
1071,25642,74
1072,25739,0
1073,25739,0
1074,25739,0
1075,24929,628
1076,25739,0
1077,24808,724
1078,25739,0
1079,25739,0
1080,25739,0
1081,25739,0
1082,25739,0
1083,25739,0
1084,24846,694
1085,25739,0
1086,25739,0
1087,25520,168
1088,23343,1920
1089,25692,36
1090,21759,3302
1091,25491,190
1092,25739,0
1093,25613,96
1094,25739,0
1095,25739,0
1096,25564,134
1097,25739,0
1098,25739,0
1099,22515,2630
1100,19726,5230
1101,25739,0
1102,25739,0
1103,25676,48
1104,25739,0
1105,25739,0
1106,25739,0
1107,25739,0
1108,25739,0
1109,25031,548
1110,25739,0
1111,24114,1282
1112,13961,12024
1113,25739,0
1114,25739,0
1115,25739,0
1116,25739,0
1117,25739,0
1118,25739,0
1119,25739,0
1120,25676,48
1121,25676,48
1122,25739,0
1123,25189,424
1124,19201,5760
1125,25739,0
1126,25739,0
1127,25739,0
1128,25739,0
1129,25676,48
1130,25739,0
1131,25676,48
1132,25739,0
1133,23821,1522
1134,25739,0
1135,25739,0
1136,25739,0
1137,25577,124
1138,25739,0
1139,25739,0
1140,20842,4148
1141,25739,0
1142,24484,982
1143,25739,0
1144,25739,0
1145,25702,28
1146,19560,5396
1147,25189,424
1148,25739,0
1149,25739,0
1150,25739,0
1151,25223,398
1152,25739,0
1153,25739,0
1154,25739,0
1155,25739,0
1156,25739,0
1157,25739,0
1158,25739,0
1159,25739,0
1160,25739,0
1161,25739,0
1162,25739,0
1163,25504,180
1164,25174,436
1165,25739,0
1166,25062,524
1167,25739,0
1168,25739,0
1169,25739,0
1170,25739,0
1171,24868,676
1172,25739,0
1173,25739,0
1174,25739,0
1175,25739,0
1176,25739,0
1177,25138,464
1178,25739,0
1179,25739,0
1180,22655,2508
1181,25739,0
1182,25739,0
1183,25148,456
1184,25739,0
1185,25739,0
1186,25707,24
1187,25739,0
1188,25739,0
1189,25739,0
1190,25739,0
1191,25739,0
1192,25739,0
1193,25739,0
1194,25254,374
1195,24507,964
1196,25739,0
1197,25739,0
1198,25739,0
1199,25739,0
1200,24932,626
1201,25739,0
1202,25739,0
1203,25739,0
1204,25739,0
1205,25739,0
1206,25739,0
1207,25739,0
1208,25739,0
1209,6930,25792
1210,25739,0
1211,25739,0
1212,24118,1278
1213,25739,0
1214,22580,2574
1215,25739,0
1216,25739,0
1217,25739,0
1218,25739,0
1219,25702,28
1220,25739,0
1221,25613,96
1222,25739,0
1223,25739,0
1224,25676,48
1225,25739,0
1226,25739,0
1227,25739,0
1228,25739,0
1229,25380,276
1230,22467,2672
1231,25739,0
1232,25421,244
1233,25739,0
1234,20968,4030
1235,25739,0
1236,15457,10024
1237,7772,23538
1238,25739,0
1239,25739,0
1240,25739,0
1241,25739,0
1242,25681,44
1243,25702,28
1244,25313,328
1245,25613,96
1246,25739,0
1247,24527,948
1248,25616,94
1249,25739,0
1250,25707,24
1251,25739,0
1252,25702,28
1253,22632,2528
1254,25739,0
1255,25739,0
1256,25739,0
1257,25739,0
1258,23339,1924
1259,24395,1054
1260,25739,0
1261,25739,0
1262,25739,0
1263,25739,0
1264,25739,0
1265,25739,0
1266,25739,0
1267,25095,498
1268,25739,0
1269,25634,80
1270,25739,0
1271,25739,0
1272,25739,0
1273,25739,0
1274,7009,25570
1275,25707,24
1276,25739,0
1277,25739,0
1278,25739,0
1279,25739,0
1280,25739,0
1281,21827,3240
1282,25671,52
1283,25189,424
1284,25739,0
1285,25739,0
1286,25739,0
1287,25639,76
1288,25692,36
1289,25739,0
1290,25739,0
1291,22371,2756
1292,25739,0
1293,25739,0
1294,25692,36
1295,25739,0
1296,25739,0
1297,25110,486
1298,25739,0
1299,25739,0
1300,25739,0
1301,25707,24
1302,25739,0
1303,25739,0
1304,25739,0
1305,25692,36
1306,25739,0
1307,21266,3752
1308,25551,144
1309,25354,296
1310,25739,0
1311,25200,416
1312,25739,0
1313,25739,0
1314,25739,0
1315,25692,36
1316,25739,0
1317,25577,124
1318,6049,28466
1319,25739,0
1320,25739,0
1321,25739,0
1322,25739,0
1323,25739,0
1324,25133,468
1325,24392,1056
1326,25739,0
1327,25739,0
1328,25739,0
1329,23213,2030
1330,25287,348
1331,25739,0
1332,25739,0
1333,25739,0
1334,25739,0
1335,24757,764
1336,25739,0
1337,25739,0
1338,25739,0
1339,25535,156
1340,25739,0
1341,25739,0
1342,25739,0
1343,25739,0
1344,22899,2298
1345,25739,0
1346,25739,0
1347,25739,0
1348,25739,0
1349,25739,0
1350,25739,0
1351,25739,0
1352,25739,0
1353,25739,0
1354,25739,0
1355,25739,0
1356,25739,0
1357,21708,3348
1358,25681,44
1359,25739,0
1360,25739,0
1361,25739,0
1362,21495,3542
1363,25739,0
1364,25739,0
1365,25639,76
1366,25739,0
1367,25739,0
1368,14341,11496
1369,25739,0
1370,25739,0
1371,20842,4148
1372,25739,0
1373,25739,0
1374,25739,0
1375,25739,0
1376,25739,0
1377,25739,0
1378,25739,0
1379,25739,0
1380,25739,0
1381,23879,1474
1382,22609,2548
1383,25739,0
1384,25739,0
1385,25739,0
1386,22290,2828
1387,25739,0
1388,25739,0
1389,25739,0
1390,25739,0
1391,25739,0
1392,25447,224
1393,25739,0
1394,25739,0
1395,25739,0
1396,25739,0
1397,25739,0
1398,25739,0
1399,23814,1528
1400,6458,27180
1401,23573,1728
1402,6979,25654
1403,25739,0
1404,25739,0
1405,25739,0
1406,25739,0
1407,25062,524
1408,25739,0
1409,25739,0
1410,25739,0
1411,25739,0
1412,25739,0
1413,25739,0
1414,19934,5024
1415,25739,0
1416,25739,0
1417,25739,0
1418,25739,0
1419,25676,48
1420,25486,194
1421,25739,0
1422,25739,0
1423,25739,0
1424,25739,0
1425,25739,0
1426,25739,0
1427,25739,0
1428,25739,0
1429,25739,0
1430,25739,0
1431,25739,0
1432,25739,0
1433,23758,1574
1434,25739,0
1435,25739,0
1436,25739,0
1437,25660,60
1438,25535,156
1439,20604,4374
1440,25739,0
1441,25739,0
1442,25707,24
1443,25676,48
1444,25739,0
1445,24557,924
1446,25739,0
1447,25739,0
1448,25739,0
1449,25707,24
1450,25739,0
1451,25212,406
1452,25739,0
1453,24607,884
1454,25739,0
1455,25739,0
1456,16958,8202
1457,25739,0
1458,25739,0
1459,25739,0
1460,25739,0
1461,25739,0
1462,25739,0
1463,25739,0
1464,25676,48
1465,25739,0
1466,25238,386
1467,25739,0
1468,25707,24
1469,25739,0
1470,25608,100
1471,25739,0
1472,25739,0
1473,25739,0
1474,25739,0
1475,25739,0
1476,25739,0
1477,25739,0
1478,19588,5368
1479,25739,0
1480,25739,0
1481,25739,0
1482,25739,0
1483,17070,8072
1484,25739,0
1485,25739,0
1486,25644,72
1487,23220,2024
1488,25739,0
1489,25739,0
1490,25739,0
1491,25739,0
1492,25739,0
1493,25739,0
1494,25739,0
1495,24627,868
1496,25739,0
1497,25739,0
1498,25739,0
1499,25056,528
1500,23173,2064
1501,25739,0
1502,25739,0
1503,25739,0
1504,25739,0
1505,25739,0
1506,25707,24
1507,25739,0
1508,25739,0
1509,25739,0
1510,25739,0
1511,25739,0
1512,25637,78
1513,25739,0
1514,25739,0
1515,25739,0
1516,22010,3076
1517,19330,5628
1518,25739,0
1519,25739,0
1520,25739,0
1521,25739,0
1522,25739,0
1523,25189,424
1524,25238,386
1525,25739,0
1526,25739,0
1527,23159,2076
1528,25707,24
1529,25512,174
1530,25739,0
1531,25739,0
1532,25739,0
1533,25739,0
1534,25739,0
1535,25739,0
1536,25702,28
1537,25739,0
1538,25056,528
1539,25739,0
1540,25642,74
1541,25739,0
1542,25739,0
1543,24841,698
1544,25739,0
1545,25739,0
1546,25739,0
1547,25702,28
1548,25707,24
1549,1982,50398
1550,25739,0
1551,25062,524
1552,25739,0
1553,25739,0
1554,25739,0
1555,25739,0
1556,25739,0
1557,25739,0
1558,25739,0
1559,25739,0
1560,25739,0
1561,25739,0
1562,24517,956
1563,25739,0
1564,25739,0
1565,25739,0
1566,25739,0
1567,25739,0
1568,25739,0
1569,25357,294
1570,25739,0
1571,25739,0
1572,25707,24
1573,25739,0
1574,25707,24
1575,25600,106
1576,25739,0
1577,25739,0
1578,25739,0
1579,159,100024
1580,21081,3924
1581,25676,48
1582,25739,0
1583,25739,0
1584,25739,0
1585,24407,1044
1586,25739,0
1587,25739,0
1588,25665,56
1589,25546,148
1590,25739,0
1591,25739,0
1592,25739,0
1593,23818,1524
1594,25739,0
1595,25616,94
1596,25739,0
1597,25739,0
1598,25739,0
1599,25739,0
1600,25739,0
1601,25739,0
1602,25739,0
1603,25739,0
1604,25739,0
1605,24185,1224
1606,23991,1382
1607,25739,0
1608,25739,0
1609,22566,2586
1610,24929,628
1611,23911,1448
1612,25676,48
1613,25739,0
1614,25159,448
1615,25739,0
1616,25739,0
1617,25739,0
1618,25702,28
1619,25739,0
1620,25739,0
1621,25739,0
1622,25739,0
1623,25739,0
1624,23609,1698
1625,10336,17934
1626,24998,574
1627,25739,0
1628,25739,0
1629,25739,0
1630,25739,0
1631,25634,80
1632,23573,1728
1633,25739,0
1634,25120,478
1635,25739,0
1636,25739,0
1637,24803,728
1638,24720,794
1639,25676,48
1640,25739,0
1641,23814,1528
1642,25739,0
1643,25739,0
1644,25739,0
1645,25739,0
