source_id,local_scope,title,author,source_page,direct_download,license,license_url,retrieved_at,cc0_marker_verified,notes
oga_sewer_nightclub,OpenGameArt/Additional_CC0_Ambience/oga_sewer_nightclub.ogg,Sewer Nightclub,section31,https://opengameart.org/content/sewer-nightclub,https://opengameart.org/sites/default/files/S31-Sewer%20Nightclub.ogg,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_ambience_scifi_horror,OpenGameArt/Ambience_Pack_1_CC0,Ambience Pack 1 — Sci-Fi Horror,Joth,https://opengameart.org/content/ambience-pack-1-sci-fi-horror,Multiple MP3 files on source page,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_atmospheric_interaction,OpenGameArt/Atmospheric_Interaction_CC0,Atmospheric Interaction Sound Pack,legoluft,https://opengameart.org/content/atmospheric-interaction-sound-pack,https://opengameart.org/sites/default/files/krank_sounds.7z,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_button_sfx_iii,OpenGameArt/Button_SFX_Pack_III_CC0,Button SFX Pack III — Hi-Tech,Circlerun,https://opengameart.org/content/button-sfx-pack-iii-assortment-ot-hi-tech,https://opengameart.org/sites/default/files/Button%20SFX%20Pack%20III%20-%20Hi-Tech.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_button_sfx_ii,OpenGameArt/Button_SFX_Pack_II_CC0,Button SFX Pack II — Granular Synthesis,Circlerun,https://opengameart.org/content/button-sfx-pack-ii-granular-synthesis-styled,https://opengameart.org/sites/default/files/Button%20SFX%20Pack%20II%20-%20Granular%20Synthesis%20Styled.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_dark_scifi_audio,OpenGameArt/Dark_SciFi_Audio_Pack_CC0,Dark Sci-Fi Audio Pack,SRG774,https://opengameart.org/content/dark-sci-fi-audio-pack,https://opengameart.org/sites/default/files/ogg.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_gui_sfx,OpenGameArt/GUI_CC0_SFX,GUI Sound Effects,LokiF,https://opengameart.org/content/gui-sound-effects,https://opengameart.org/sites/default/files/GUI_Sound_Effects_by_Lokif.7z,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_ignisforge_43_sfx,OpenGameArt/IgnisForge_43_CC0_SFX,IgnisForge Free SFX Sampler,ignisforge,https://opengameart.org/content/ignisforge-free-sfx-sampler-43-synthesized-retro-sound-effects,https://opengameart.org/sites/default/files/ignisforge-oga-sampler-cc0_7.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_level_power_coin_13,OpenGameArt/Level_Power_Coin_13_CC0,"Level Up, Power Up, Coin Get — 13 Sounds",wobbleboxx,https://opengameart.org/content/level-up-power-up-coin-get-13-sounds,https://opengameart.org/sites/default/files/SoundPack01.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_penguin_sounds,OpenGameArt/Penguin_Sounds_CC0,Penguin Sounds,AntumDeluge,https://opengameart.org/content/penguin-sounds,https://opengameart.org/sites/default/files/penguin.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_tt_cyberpunk_1,OpenGameArt/TT_Cyberpunk_Pack_1_CC0,T&T Free Cyberpunk Pack,tricksntraps,https://opengameart.org/content/t-t-free-cyberpunk-pack,Multiple OGG files on source page,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_tt_cyberpunk_2,OpenGameArt/TT_Cyberpunk_Pack_2_CC0,T&T Free Cyberpunk Pack 2,tricksntraps,https://opengameart.org/content/t-t-free-cyberpunk-pack-2,Multiple OGG files on source page,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
oga_ui_feedback,OpenGameArt/UI_Feedback_CC0,"UI Sound Effects — Clicks, Feedback, Notifications",Robin Lamb,https://opengameart.org/content/ui-sound-effects-button-clicks-user-feedback-notifications,https://opengameart.org/sites/default/files/ui_ogg.zip,CC0 1.0 Universal / Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,2026-08-21,YES,Original retained unmodified in 02_SOURCE_LIBRARY_CC0.
